logid,sessionnumber,stageid,stagename,stagetype,processname,pagename,objectname,actionname,result,resulttype,startdatetime,enddatetime,attributexml,automateworkingset,targetappname,targetappworkingset,starttimezoneoffset,endtimezoneoffset,attributesize
285703420,41917,{24B07271-3071-43B6-82D7-C4B9B519BC3C},End,2048,,,Generic OLEDB,Get Collection,,,2022-04-13 14:00:51.097000000,,<parameters><inputs /><outputs><output name="Result" type="collection"><row><field name="Type of DBS Disclosure" type="text" value="Standard" /><field name="Childrens Barred List Chk Reqd" type="text" value="Yes" /><field name="Adults Barred List Check Reqd" type="text" value="Yes" /><field name="Assignment Number" type="number" value="30236212" /><field name="Created Date" type="datetime" value="2022-01-07 13:18:23Z" /></row></output></outputs></parameters>,0,,0,3600,,462
285703421,41917,{71C1D9F6-126A-4431-9340-6FB7F01FA64F},End,2048,3.11 - TRAC Internal Executor,Generic Query,,,,,2022-04-13 14:00:51.200000000,,<parameters><inputs /><outputs><output name="Reults" type="collection"><row><field name="Type of DBS Disclosure" type="text" value="Standard" /><field name="Childrens Barred List Chk Reqd" type="text" value="Yes" /><field name="Adults Barred List Check Reqd" type="text" value="Yes" /><field name="Assignment Number" type="number" value="30236212" /><field name="Created Date" type="datetime" value="2022-01-07 13:18:23Z" /></row></output></outputs></parameters>,0,,0,3600,,462
285703422,41917,{82852384-D545-49FF-A8C0-6AF0C60A3A26},Start,1024,3.11 - TRAC Internal Executor,Generic Query,,,,,2022-04-13 14:00:51.293000000,,<parameters><inputs><input name="Path" type="text" value="\\bcfhcc20-97.royalfree.nhs.uk\Users\NLPSS\Shared_Recruitment_Services\RPA\ESR_Reports\RFL\XLSX Versions\391 NHS Employment Checklist Dashboard - EU Status 13 04 2022 11 08 51.XLSX" /><input name="Query" type="text" value="Select [EU Settlement Scheme Status] from [391 NHS Employment Checklist Da$] Where [Applicant Number] = 30236212" /></inputs><outputs /></parameters>,0,,0,3600,,430
285703423,41917,{A57715C8-5363-4404-9037-3F0D7146AF16},CSV?,4,3.11 - TRAC Internal Executor,Generic Query,,,False,8,2022-04-13 14:00:51.387000000,,,0,,0,3600,,0
285703424,41917,{0A0653F4-FE81-48A0-A746-21A819693FE5},Data - OLEDB::Close,2,,,Generic OLEDB,Get Collection,ERROR: Internal : Could not execute code stage because exception thrown by code stage: Object reference not set to an instance of an object.,64,2022-04-13 14:00:51.420000000,,,0,,0,3600,,0
285703425,41917,{24B07271-3071-43B6-82D7-C4B9B519BC3C},End,2048,,,Generic OLEDB,Get Collection,,,2022-04-13 14:00:51.880000000,,<parameters><inputs /><outputs><output name="Result" type="collection" encvalue="&lt;collection /&gt;" /></outputs></parameters>,0,,0,3600,,128
285703426,41917,{71C1D9F6-126A-4431-9340-6FB7F01FA64F},End,2048,3.11 - TRAC Internal Executor,Generic Query,,,,,2022-04-13 14:00:51.900000000,,<parameters><inputs /><outputs><output name="Reults" type="collection" encvalue="&lt;collection /&gt;" /></outputs></parameters>,0,,0,3600,,128
285703427,41917,{82852384-D545-49FF-A8C0-6AF0C60A3A26},Start,1024,3.11 - TRAC Internal Executor,Generic Query,,,,,2022-04-13 14:00:51.963000000,,<parameters><inputs><input name="Path" type="text" value="\\bcfhcc20-97.royalfree.nhs.uk\Users\NLPSS\Shared_Recruitment_Services\RPA\ESR_Reports\RFL\XLSX Versions\391 NHS Employment Checklist Dashboard - Medical 13 04 2022 11 04 58.XLSX" /><input name="Query" type="text" value="Select [EPP Clearance], [Date of Medical Clearance] from [391 NHS Employment Checklist Da$] Where [Employee Number] = 30236212" /></inputs><outputs /></parameters>,0,,0,3600,,442
285703428,41917,{A57715C8-5363-4404-9037-3F0D7146AF16},CSV?,4,3.11 - TRAC Internal Executor,Generic Query,,,False,8,2022-04-13 14:00:52.060000000,,,0,,0,3600,,0
285703429,41917,{0A0653F4-FE81-48A0-A746-21A819693FE5},Data - OLEDB::Close,2,,,Generic OLEDB,Get Collection,ERROR: Internal : Could not execute code stage because exception thrown by code stage: Object reference not set to an instance of an object.,64,2022-04-13 14:00:52.093000000,,,0,,0,3600,,0
285703430,41917,{24B07271-3071-43B6-82D7-C4B9B519BC3C},End,2048,,,Generic OLEDB,Get Collection,,,2022-04-13 14:00:54.867000000,,<parameters><inputs /><outputs><output name="Result" type="collection"><row><field name="EPP Clearance" type="text" value="No" /><field name="Date of Medical Clearance" type="datetime" value="2021-12-22 00:00:00Z" /></row></output></outputs></parameters>,0,,0,3600,,254
285703431,41917,{71C1D9F6-126A-4431-9340-6FB7F01FA64F},End,2048,3.11 - TRAC Internal Executor,Generic Query,,,,,2022-04-13 14:00:54.883000000,,<parameters><inputs /><outputs><output name="Reults" type="collection"><row><field name="EPP Clearance" type="text" value="No" /><field name="Date of Medical Clearance" type="datetime" value="2021-12-22 00:00:00Z" /></row></output></outputs></parameters>,0,,0,3600,,254
285703432,41917,{842F982A-8024-4DD6-973B-AEE3390204FC},Start,1024,3.11 - TRAC Internal Executor,3.0 Check for ESR Exceptions,,,,,2022-04-13 14:00:54.910000000,,,0,,0,3600,,0
285703433,41917,{8C97C074-E458-4819-A238-E00E18211002},No Match?,4,3.11 - TRAC Internal Executor,3.0 Check for ESR Exceptions,,,False,8,2022-04-13 14:00:54.927000000,,,0,,0,3600,,0
285703434,41917,{510418B0-9639-4C5A-AB07-43195ACDE57D},Check Name,4,3.11 - TRAC Internal Executor,3.0 Check for ESR Exceptions,,,False,8,2022-04-13 14:00:54.947000000,,,0,,0,3600,,0
285703435,41917,{CE1E91DB-E760-40B1-8F8F-0C259203B071},Duplicate Record?,4,3.11 - TRAC Internal Executor,3.0 Check for ESR Exceptions,,,False,8,2022-04-13 14:00:54.967000000,,,0,,0,3600,,0
285703436,41917,{4C0FDC9B-50BF-4606-9AF7-CDE5C37AE77E},Not Stated?,4,3.11 - TRAC Internal Executor,3.0 Check for ESR Exceptions,,,ERROR: Internal : The collection has no current row,64,2022-04-13 14:00:54.983000000,,,0,,0,3600,,0
285703437,41917,{A247D86D-08B7-4706-A1C4-CA352AAD7455},Recover Workload,67108864,3.11 - TRAC Internal Executor,Process Data,,,,64,2022-04-13 14:00:55,,,0,,0,3600,,0
285703438,41917,{7357AE63-8E21-4AE6-8E14-BE5FFABFA3B6},Exception Details,536870912,3.11 - TRAC Internal Executor,Process Data,,,,,2022-04-13 14:00:55.017000000,,<parameters><inputs /><outputs><output name="step1" type="text" value="The collection has no current row" /><output name="step2" type="text" value="Internal" /></outputs></parameters>,0,,0,3600,,183
285703439,41917,{216FC312-4901-4E51-A35E-98DC1440D29E},Resume Workload,134217728,3.11 - TRAC Internal Executor,Process Data,,,,64,2022-04-13 14:00:55.037000000,,,0,,0,3600,,0
285703440,41917,{346637A0-C773-4708-9596-DE1B8DDC1F52},Manage Exception,128,3.11 - TRAC Internal Executor,Process Data,,,,,2022-04-13 14:00:55.053000000,2022-04-13 14:01:27.940000000,,0,,0,3600,3600,0
285703441,41917,{C994C19F-CEA1-4676-B528-55B7B5EC8503},Start,1024,3.11 - TRAC Internal Executor,[Management] Exceptions,,,,,2022-04-13 14:00:55.067000000,,,0,,0,3600,,0
285703442,41917,{525C3A13-4680-4911-BBC1-CFAF17D2BAFF},BE,4,3.11 - TRAC Internal Executor,[Management] Exceptions,,,False,8,2022-04-13 14:00:55.083000000,,,0,,0,3600,,0
285703443,41917,{594300CE-83E3-46CD-A3BC-CC44D2E20171},Mark Exception,128,3.11 - TRAC Internal Executor,[Management] Exceptions,,,,,2022-04-13 14:00:55.097000000,2022-04-13 14:00:55.350000000,<parameters><inputs><input name="Operation ID" type="number" value="3" /></inputs><outputs /></parameters>,0,,0,3600,3600,106
285703444,41917,{8C054E5D-8DF4-458C-ADE1-D4AE5ECA4286},Start,1024,3.11 - TRAC Internal Executor,[Management] Work Queues,,,,,2022-04-13 14:00:55.163000000,,<parameters><inputs><input name="Operation ID" type="number" value="3" /></inputs><outputs /></parameters>,0,,0,3600,,106
285703445,41917,{B9A45184-122B-4964-95EF-552763366685},Operation,1048576,3.11 - TRAC Internal Executor,[Management] Work Queues,,,(3) Mark Exception,64,2022-04-13 14:00:55.187000000,,,0,,0,3600,,0
285703446,41917,{E310D0B2-DDBA-44CA-BA68-DF1CFA766559},Item Count++,8,3.11 - TRAC Internal Executor,[Management] Work Queues,,,2,16,2022-04-13 14:00:55.203000000,,,0,,0,3600,,0
285703447,41917,{A21FB548-388F-4C3C-90D2-F8FDAF669188},Set Exception Status,2,3.11 - TRAC Internal Executor,[Management] Work Queues,Blueprism.Automate.clsWorkQueuesActions,Update Status,,,2022-04-13 14:00:55.227000000,2022-04-13 14:00:55.263000000,<parameters><inputs><input name="Item ID" type="text" value="bba3fff0-2412-4993-8bb4-460060e80fbf" /><input name="Status" type="text" value="System Exception" /></inputs><outputs /></parameters>,0,,0,3600,3600,194
285703448,41917,{A5FA7016-031D-4230-B534-FBCC60184B3A},Mark as System Exception,2,3.11 - TRAC Internal Executor,[Management] Work Queues,Blueprism.Automate.clsWorkQueuesActions,Mark Exception,,,2022-04-13 14:00:55.273000000,2022-04-13 14:00:55.323000000,<parameters><inputs><input name="Item ID" type="text" value="bba3fff0-2412-4993-8bb4-460060e80fbf" /><input name="Exception Reason" type="text" value="The collection has no current row" /><input name="Retry" type="flag" value="True" /><input name="Keep Locked" type="flag" value="False" /></inputs><outputs><output name="New Item ID" type="text" value="bba3fff0-2412-4993-8bb4-460060e80fbf" /></outputs></parameters>,0,,0,3600,3600,416
285703449,41917,{FD0FE309-6F05-492A-9BA4-857877E0B115},End,2048,3.11 - TRAC Internal Executor,[Management] Work Queues,,,,,2022-04-13 14:00:55.333000000,,,0,,0,3600,,0
285703450,41917,{C73D71B6-A6D0-4844-9832-411AC6A72829},Start,1024,3.11 - TRAC Internal Executor,[Management] Close Applications,,,,,2022-04-13 14:00:55.360000000,,,0,,0,3600,,0
285703451,41917,{0292B5D5-156F-42FE-AE07-8B55454A7D2E},Exists?,4,3.11 - TRAC Internal Executor,[Management] Close Applications,,,False,8,2022-04-13 14:00:55.393000000,,,0,,0,3600,,0
285703452,41917,{7AA06468-369D-4B63-96BC-5BD2E80062BE},Exists?,4,3.11 - TRAC Internal Executor,[Management] Close Applications,,,False,8,2022-04-13 14:00:55.427000000,,,0,,0,3600,,0
285703453,41917,{61D7DE57-55B4-484F-884A-C8AA903F8BA6},End,2048,3.11 - TRAC Internal Executor,[Management] Close Applications,,,,,2022-04-13 14:00:55.440000000,,,0,,0,3600,,0
285703454,42073,{6D221BB7-DD82-4E5E-A09E-9A8B927E8EEC},End,2048,Volunteer Calling List - Executor,2.0 Complete Template,,,,,2022-04-13 14:00:59.990000000,,,0,,0,3600,,0
285703455,42073,{0A3293C3-66E9-4CEC-B701-1646DB76BF19},Start,1024,Volunteer Calling List - Executor,[Management] Works Queues,,,,,2022-04-13 14:01:00.020000000,,<parameters><inputs><input name="Operation ID" type="number" value="2" /></inputs><outputs /></parameters>,0,,0,3600,,106
285703456,42073,{63618BCB-1A2F-4D48-87F7-C52D933AADDB},Operation,1048576,Volunteer Calling List - Executor,[Management] Works Queues,,,(2) Mark Complete,64,2022-04-13 14:01:00.037000000,,,0,,0,3600,,0
285703457,42073,{70DC8EAE-704C-45ED-87D1-1EAAF76EDD64},Item Count++,8,Volunteer Calling List - Executor,[Management] Works Queues,,,2,16,2022-04-13 14:01:00.053000000,,,0,,0,3600,,0
